FuelModel WS[m/s] S[deg] DFM[-] LFM[-] ROS[m/s]
5 5 0 0.07 0.3 0.9261526782869685
6 5 0 0.07 0.3 0.5015855144485267
7 5 0 0.07 0.3 0.6425452893654295
8 5 0 0.07 0.3 0.023798409729155177
9 5 0 0.07 0.3 0.16805222548363466
10 5 0 0.07 0.3 0.24800867381115327
11 5 0 0.07 0.3 0.07814219605523191
12 5 0 0.07 0.3 0.16460996173689404
13 5 0 0.07 0.3 0.196931793839446
1 5 0 0.09 0.3 0.7582809305255925
2 5 0 0.09 0.3 0.9299328107087671
3 5 0 0.09 0.3 1.5114031052510601
4 5 0 0.09 0.3 2.4019381902483836
5 5 0 0.09 0.3 0.8670056368654809
6 5 0 0.09 0.3 0.4441010508565641
7 5 0 0.09 0.3 0.5830481901154858
8 5 0 0.09 0.3 0.01892676740073703
9 5 0 0.09 0.3 0.1487925145089597
10 5 0 0.09 0.3 0.23038143977318795
11 5 0 0.09 0.3 0.07033181882384226
12 5 0 0.09 0.3 0.14869322143914007
13 5 0 0.09 0.3 0.17436232521053235
