FuelModel WS[m/s] S[deg] DFM[-] LFM[-] ROS[m/s]
7 0 10 0.07 0.3 0.020802464775530716
8 0 10 0.07 0.3 0.0017755524434811365
9 0 10 0.07 0.3 0.006477818502480898
10 0 10 0.07 0.3 0.012097234613005128
11 0 10 0.07 0.3 0.004711568317827835
12 0 10 0.07 0.3 0.011027079947361433
13 0 10 0.07 0.3 0.014339496753337405
1 0 10 0.09 0.3 0.03972779219670755
2 0 10 0.09 0.3 0.025330865537756795
3 0 10 0.09 0.3 0.04348101310405105
4 0 10 0.09 0.3 0.08121127700383453
5 0 10 0.09 0.3 0.026816284357258947
6 0 10 0.09 0.3 0.015142566333611086
7 0 10 0.09 0.3 0.01887624053596694
8 0 10 0.09 0.3 0.0015533339371535692
9 0 10 0.09 0.3 0.005735424810608406
10 0 10 0.09 0.3 0.011237422806995516
11 0 10 0.09 0.3 0.0042406431612365195
12 0 10 0.09 0.3 0.009960831186273335
13 0 10 0.09 0.3 0.01269611141763732
1 0 15 0.03 0.3 0.11761203761080166
2 0 15 0.03 0.3 0.056477349663912664
3 0 15 0.03 0.3 0.12135531746628936
4 0 15 0.03 0.3 0.17000911779829941
5 0 15 0.03 0.3 0.056307567807671814
6 0 15 0.03 0.3 0.04055990867562928
7 0 15 0.03 0.3 0.04337276179081197
8 0 15 0.03 0.3 0.0036141930027985417
9 0 15 0.03 0.3 0.013602632116757876
10 0 15 0.03 0.3 0.02201350565229335
11 0 15 0.03 0.3 0.00966206208237837
12 0 15 0.03 0.3 0.023213483628692626
13 0 15 0.03 0.3 0.029918763431756378
1 0 15 0.05 0.3 0.09780128215572641
2 0 15 0.05 0.3 0.04798288200424191
3 0 15 0.05 0.3 0.09785960609640763
4 0 15 0.05 0.3 0.1522165957077823
5 0 15 0.05 0.3 0.051125800637978
6 0 15 0.05 0.3 0.03270706854197735
7 0 15 0.05 0.3 0.038176065974945134
8 0 15 0.05 0.3 0.002948481500056774
9 0 15 0.05 0.3 0.010969014367170534
10 0 15 0.05 0.3 0.019507486510956417
11 0 15 0.05 0.3 0.007811571831323707
12 0 15 0.05 0.3 0.018576438728950685
13 0 15 0.05 0.3 0.024126164929992394
1 0 15 0.07 0.3 0.087182994990769
2 0 15 0.07 0.3 0.043530779486939467
3 0 15 0.07 0.3 0.08287742091887683
4 0 15 0.07 0.3 0.14004720239157606
5 0 15 0.07 0.3 0.047282450460363494
6 0 15 0.07 0.3 0.027699656627531828
7 0 15 0.07 0.3 0.03411774426936659
8 0 15 0.07 0.3 0.0024912477459447077
9 0 15 0.07 0.3 0.00928967177609119
10 0 15 0.07 0.3 0.017746120791347093
11 0 15 0.07 0.3 0.006929771825443079
12 0 15 0.07 0.3 0.01595668055693905
13 0 15 0.07 0.3 0.020432478791007777
1 0 15 0.09 0.3 0.06892065809312217
2 0 15 0.09 0.3 0.03976692321091639
3 0 15 0.09 0.3 0.07337921184351116
4 0 15 0.09 0.3 0.13069397980720313
5 0 15 0.09 0.3 0.04426284351924743
6 0 15 0.09 0.3 0.024525123358432363
7 0 15 0.09 0.3 0.03095857891468254
8 0 15 0.09 0.3 0.0021794567002742316
9 0 15 0.09 0.3 0.008225024206312145
10 0 15 0.09 0.3 0.01648481400054803
11 0 15 0.09 0.3 0.006237135390629928
12 0 15 0.09 0.3 0.014413770651857075
13 0 15 0.09 0.3 0.018090804142674666
1 1.25 0 0.03 0.3 0.2209743036654233
2 1.25 0 0.03 0.3 0.12312534772397415
3 1.25 0 0.03 0.3 0.4347670726044485
4 1.25 0 0.03 0.3 0.48507598325706075
5 1.25 0 0.03 0.3 0.1742028075222097
6 1.25 0 0.03 0.3 0.12564120054377595
7 1.25 0 0.03 0.3 0.13971346442943547
8 1.25 0 0.03 0.3 0.0074636094551447305
9 1.25 0 0.03 0.3 0.02839775452650292
10 1.25 0 0.03 0.3 0.05065207977523423
11 1.25 0 0.03 0.3 0.02540755013566046
12 1.25 0 0.03 0.3 0.05817515858788559
13 1.25 0 0.03 0.3 0.0706086374998459
1 1.25 0 0.05 0.3 0.1837530465500786
2 1.25 0 0.05 0.3 0.10460669749426442
3 1.25 0 0.05 0.3 0.35059143148447736
4 1.25 0 0.05 0.3 0.4343097346025611
5 1.25 0 0.05 0.3 0.15817159850301837
6 1.25 0 0.05 0.3 0.10131569552450051
7 1.25 0 0.05 0.3 0.12297373317776976
8 1.25 0 0.05 0.3 0.006088859777301081
9 1.25 0 0.05 0.3 0.02289963991695719
10 1.25 0 0.05 0.3 0.044885843198915074
11 1.25 0 0.05 0.3 0.02054146425995794
12 1.25 0 0.05 0.3 0.04655429087425212
